Voti Fantacalcio 2ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6;0;1;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;5.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;5.5;0;0;0;0;0;0;1;0;0
22;C;De Roon;6.5;0;0;0;0;0;0;1;0;0
2077;C;Pasalic;7;1;0;0;0;0;0;0;0;0
4896;C;Maldini;5.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;6*;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;6;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;5.5;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6.5;0;0;0;0;0;0;0;0;1
1924;ALL;Juric;6;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;0;0;0;0;0;0;0;0
2653;D;Lykogiannis;5.5;0;0;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;6*;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;6.5;0;0;0;0;0;0;1;0;0
7068;D;Vitik;6;0;0;0;0;0;0;1;0;0
7212;D;Heggem;7;0;0;0;0;0;0;0;0;0
788;C;Freuler;6.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;7;1;0;0;0;0;0;0;0;0
2765;C;Odgaard;6;0;0;0;0;0;0;0;0;0
5298;C;Pobega;6;0;0;0;0;0;0;1;0;0
6054;C;Moro N.;5.5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;6.5;0;0;0;0;0;0;1;0;0
6572;A;Castro S.;6.5;0;0;0;0;0;0;0;0;1
6643;A;Dallinga;6;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;6.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6.5;0;1;0;0;0;0;0;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;6;0;0;0;0;0;0;0;0;0
4461;D;Zappa;6;0;0;0;0;0;0;1;0;0
5406;D;Di Pardo;6*;0;0;0;0;0;0;0;0;0
5701;D;Obert;5.5;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;6*;0;0;0;0;0;0;0;0;0
1871;C;Deiola;6;0;0;0;0;0;0;0;0;0
4364;C;Gaetano;5.5;0;0;0;0;0;0;0;0;0
4870;C;Adopo;6;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;6;0;0;0;0;0;0;0;0;0
6424;C;Prati;6.5;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;6;0;0;0;0;0;0;0;0;0
5297;A;Luvumbo;6.5;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;5.5;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;6;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;1;0;0;0;0;0;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;1;0;0
6867;D;Valle;5.5;0;0;0;0;0;0;0;0;0
6869;D;Ramon;5.5;0;0;0;0;0;0;1;0;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
6896;D;Van Der Brempt;6;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;5.5;0;0;0;0;0;0;1;0;0
4284;C;Sergi Roberto;6;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6;0;0;0;0;0;0;0;0;0
6151;C;Perrone;5.5;0;0;0;0;0;0;1;0;0
6875;C;Paz N.;6.5;0;0;0;0;0;0;0;0;0
7126;C;Baturina;6*;0;0;0;0;0;0;0;0;0
313;A;Morata;5.5;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;5.5;0;0;0;0;0;0;0;0;0
7128;A;Kuhn;5.5;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;5.5;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;6;0;0;0;0;0;0;1;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;6;0;2;0;0;0;0;0;0;0
612;D;Bianchetti;6;0;0;0;0;0;0;0;0;0
770;D;Pezzella Giu.;6;0;0;0;0;0;0;0;0;0
5812;D;Terracciano F.;6.5;1;0;0;0;0;0;0;0;0
5835;D;Baschirotto;5.5;0;0;0;0;0;0;0;0;0
7131;D;Floriani Mussolini;6.5;0;0;0;0;0;0;0;0;0
27;C;Grassi;5;0;0;0;0;0;0;0;0;0
449;C;Vazquez;7;1;0;0;0;0;0;0;0;0
5992;C;Bondo;6;0;0;0;0;0;0;0;0;0
5998;C;Zerbin;6.5;0;0;0;0;0;0;0;0;0
6481;C;Payero;6;0;0;0;0;0;0;0;0;0
7132;C;Collocolo;6.5;0;0;0;0;0;0;0;0;0
7133;C;Vandeputte;7;0;0;0;0;0;0;0;0;1
479;A;Sanabria;6.5;0;0;0;0;0;0;1;0;1
5512;A;De Luca;7;0;0;0;0;1;0;0;0;0
5515;A;Okereke;6;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;6.5;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6.5;0;0;0;0;0;0;0;0;0
2160;D;Gosens;6;0;0;0;0;0;0;0;0;0
4378;D;Ranieri L.;6.5;0;0;0;0;0;0;0;0;0
5603;D;Pongracic;6;0;0;0;0;0;0;1;0;0
5885;D;Dodò;7;0;0;0;0;0;0;0;0;0
6495;D;Comuzzo;6.5;0;0;0;0;0;0;0;0;0
7238;D;Kouadio;6;0;0;0;0;0;0;0;0;0
1933;C;Mandragora;6;0;0;0;0;0;0;0;0;0
4465;C;Fagioli;5.5;0;0;0;0;0;0;0;0;0
5319;C;Sohm;6;0;0;0;0;0;0;1;0;0
5800;C;Gudmundsson A.;5;0;0;0;0;0;0;0;0;0
6010;C;Fazzini;6*;0;0;0;0;0;0;0;0;0
6294;C;Ndour;5.5;0;0;0;0;0;0;0;0;0
647;A;Dzeko;6*;0;0;0;0;0;0;0;0;0
2097;A;Kean;5;0;0;0;0;0;0;0;0;0
4359;A;Piccoli;6;0;0;0;0;0;0;0;0;0
676;ALL;Pioli;5.5;0;0;0;0;0;0;0;0;0
Genoa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
188;P;Leali;7;0;1;0;0;0;0;0;0;0
2593;D;Martin;6;0;0;0;0;0;0;0;0;0
5514;D;Vasquez;6;0;0;0;0;0;0;0;0;0
5750;D;Ostigard;5.5;0;0;0;0;0;0;1;0;0
6814;D;Norton-Cuffy;6.5;0;0;0;0;0;0;0;0;0
4404;C;Thorsby;6;0;0;0;0;0;0;0;0;0
4427;C;Malinovskyi;6;0;0;0;0;0;0;0;0;0
5791;C;Frendrup;6;0;0;0;0;0;0;0;0;0
6020;C;Ellertsson;6.5;0;0;0;0;0;0;0;0;0
6106;C;Carboni V.;5.5;0;0;0;0;0;0;0;0;0
6917;C;Masini;6.5;0;0;0;0;0;0;0;0;0
7135;C;Stanciu;6;0;0;0;0;0;0;0;0;0
4923;A;Colombo;5.5;0;0;0;0;0;0;0;0;0
5506;A;Ekuban;6;0;0;0;0;0;0;0;0;0
6164;A;Vitinha O.;6*;0;0;0;0;0;0;0;0;0
6822;A;Ekhator;6*;0;0;0;0;0;0;0;0;0
6943;ALL;Vieira P.;6;0;0;0;0;0;0;0;0;0
Inter;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2428;P;Sommer;6;0;2;0;0;0;0;0;0;0
254;D;Dimarco;6;0;0;0;0;0;0;0;0;0
513;D;Acerbi;5.5;0;0;0;0;0;0;0;0;0
2120;D;Bastoni;5.5;0;0;0;0;0;0;0;0;0
5513;D;Dumfries;6.5;1;0;0;0;0;0;0;0;0
5877;D;Carlos Augusto;6*;0;0;0;0;0;0;0;0;0
6217;D;Bisseck;5;0;0;0;0;0;0;0;0;0
152;C;Zielinski;6*;0;0;0;0;0;0;0;0;0
1870;C;Barella;5.5;0;0;0;0;0;0;0;0;0
2194;C;Calhanoglu;5;0;0;0;0;0;0;0;0;0
2529;C;Mkhitaryan;5.5;0;0;0;0;0;0;0;0;0
7070;C;Sucic P.;5;0;0;0;0;0;0;0;0;0
2764;A;Martinez L.;5.5;0;0;0;0;0;0;1;0;0
4871;A;Thuram;6.5;0;0;0;0;0;0;0;0;1
6669;A;Bonny;6*;0;0;0;0;0;0;0;0;0
7071;A;Esposito F.P.;6;0;0;0;0;0;0;0;0;0
7043;ALL;Chivu;5;0;0;0;0;0;0;0;0;0
Juventus;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5876;P;Di Gregorio;6.5;0;0;0;0;0;0;0;0;0
2788;D;Bremer;6;0;0;0;0;0;0;0;0;0
4976;D;Kalulu;5.5;0;0;0;0;0;0;0;0;0
5831;D;Gatti;6.5;0;0;0;0;0;0;0;0;0
6766;D;Kelly L.;6;0;0;0;0;0;0;0;0;0
7175;D;Joao Mario;6;0;0;0;0;0;0;1;0;0
827;C;Locatelli;6.5;0;0;0;0;0;0;0;0;0
4711;C;Kostic;6.5;0;0;0;0;0;0;0;0;1
4973;C;McKennie;6*;0;0;0;0;0;0;0;0;0
5562;C;Thuram K.;6;0;0;0;0;0;0;0;0;0
5685;C;Koopmeiners;6;0;0;0;0;0;0;1;0;0
6884;C;Conceicao;6;0;0;0;0;0;0;0;0;0
2841;A;Vlahovic;7;1;0;0;0;0;0;0;0;0
4179;A;Gonzalez N.;6*;0;0;0;0;0;0;0;0;0
5544;A;David;5;0;0;0;0;0;0;0;0;0
6434;A;Yildiz;6;0;0;0;0;0;0;0;0;0
2729;ALL;Tudor;6.5;0;0;0;0;0;0;0;0;0
Lazio;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2814;P;Provedel;6;0;0;0;0;0;0;0;0;0
140;D;Hysaj;6*;0;0;0;0;0;0;0;0;0
2188;D;Marusic;6;0;0;0;0;0;0;0;0;0
2728;D;Pellegrini Lu.;6;0;0;0;0;0;0;0;0;0
5620;D;Tavares N.;6;0;0;0;0;0;0;0;0;0
5833;D;Gila;6;0;0;0;0;0;0;0;0;0
7012;D;Provstgaard;6.5;0;0;0;0;0;0;0;0;0
632;C;Zaccagni;7.5;1;0;0;0;0;0;0;0;0
4186;C;Guendouzi;7;1;0;0;0;0;0;0;0;0
4459;C;Rovella;6.5;0;0;0;0;0;0;0;0;1
6191;C;Belahyane;6.5;0;0;0;0;0;0;0;0;1
6629;C;Dele-Bashiru;6;0;0;0;0;0;0;0;0;0
2489;A;Pedro;6;0;0;0;0;0;0;0;0;0
5500;A;Cancellieri;6;0;0;0;0;0;0;0;0;0
5672;A;Dia;7;1;0;0;0;0;0;0;0;0
6226;A;Castellanos;8.5;1;0;0;0;0;0;0;0;2
688;ALL;Sarri;8;0;0;0;0;0;0;0;0;0
Lecce;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2134;P;Falcone;6.5;0;2;0;0;0;0;0;0;0
4502;D;Gallo;5.5;0;0;0;0;0;0;0;0;0
6632;D;Gaspar K.;5;0;0;0;0;0;0;1;0;0
6989;D;Tiago Gabriel;5.5;0;0;0;0;0;0;0;0;0
6990;D;Veiga D.;5;0;0;0;0;0;0;0;0;0
2839;C;Sottil;5.5;0;0;0;0;0;0;0;0;0
5504;C;Coulibaly L.;6;0;0;0;0;0;0;0;0;0
5872;C;Helgason;6*;0;0;0;0;0;0;0;0;0
6015;C;Berisha M.;5.5;0;0;0;0;0;0;0;0;0
6394;C;Ramadani;6;0;0;0;0;0;0;0;0;0
6410;C;Kaba;6;0;0;0;0;0;0;0;0;0
6549;C;Pierotti;6;0;0;0;0;0;0;0;0;0
6634;C;Tete Morente;6;0;0;0;0;0;0;0;0;0
6519;A;Camarda;5.5;0;0;0;0;0;0;0;0;0
7001;A;N'Dri;6*;0;0;0;0;0;0;0;0;0
7252;A;Stulic;5.5;0;0;0;0;0;0;0;0;0
691;ALL;Di Francesco;6;0;0;0;0;0;0;0;0;0
Milan;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4312;P;Maignan;6;0;0;0;0;0;0;0;0;0
4401;D;Gabbia;6;0;0;0;0;0;0;0;0;0
4751;D;Tomori;6;0;0;0;0;0;0;0;0;0
5022;D;Pavlovic;6.5;0;0;0;0;0;0;0;0;0
5273;D;Estupinan;6;0;0;0;0;0;0;0;0;0
2423;C;Pulisic;7;1;0;0;0;0;0;0;0;0
2606;C;Modric;6.5;0;0;0;0;0;0;0;0;1
4199;C;Loftus-Cheek;7;1;0;0;0;0;0;0;0;0
4686;C;Fofana Y.;6;0;0;0;0;0;0;0;0;0
4892;C;Saelemaekers;6.5;0;0;0;0;0;0;0;0;0
5295;C;Musah;6.5;0;0;0;0;0;0;0;0;0
5453;C;Ricci S.;6;0;0;0;0;0;0;0;0;0
7008;A;Gimenez;5.5;0;0;0;0;0;0;0;0;0
7262;A;Balentien;6*;0;0;0;0;0;0;0;0;0
686;ALL;Allegri;6.5;0;0;0;0;0;0;0;0;0
Napoli;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
572;P;Meret;6;0;0;0;0;0;0;0;0;0
256;D;Juan Jesus;6;0;0;0;0;0;0;1;0;0
1852;D;Spinazzola;6;0;0;0;0;0;0;0;0;0
2724;D;Buongiorno;6.5;0;0;0;0;0;0;0;0;1
2816;D;Di Lorenzo;6;0;0;0;0;0;0;0;0;0
4409;D;Rrahmani;6;0;0;0;0;0;0;0;0;0
5840;D;Olivera;6*;0;0;0;0;0;0;0;0;0
536;C;Politano;6.5;0;0;0;0;0;0;0;0;0
2517;C;De Bruyne;5.5;0;0;0;0;0;0;1;0;0
4220;C;Zambo Anguissa;7;1;0;0;0;0;0;0;0;0
4287;C;Lobotka;6;0;0;0;0;0;0;0;0;0
4777;C;McTominay;6;0;0;0;0;0;0;0;0;0
6215;A;Lucca;5.5;0;0;0;0;0;0;0;0;0
7120;A;Lang;6*;0;0;0;0;0;0;0;0;0
7264;A;Ambrosino;6;0;0;0;0;0;0;0;0;0
4416;ALL;Conte;6.5;0;0;0;0;0;0;0;0;0
Parma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6641;P;Suzuki;6;0;1;0;0;0;0;0;0;0
5307;D;Valenti;5.5;0;0;0;0;0;0;1;0;0
5862;D;Valeri;6;0;0;0;0;0;0;0;0;0
6663;D;Circati;6;0;0;0;0;0;0;0;0;0
6664;D;Delprato;6.5;0;0;0;0;0;0;0;0;0
6965;D;Lovik;5.5;0;0;0;0;0;0;0;0;0
5290;C;Estevez;6*;0;0;0;0;0;0;0;0;0
6218;C;Oristanio;6.5;0;0;0;0;0;0;1;0;0
6666;C;Bernabè;6.5;0;0;0;0;0;0;0;0;0
6898;C;Keita M.;5;0;0;0;0;0;0;0;0;0
7138;C;Ordonez C.;6*;0;0;0;0;0;0;0;0;0
7209;C;Sorensen O.;5.5;0;0;0;0;0;0;0;0;0
2155;A;Cutrone;7;1;0;0;0;0;0;0;0;0
6207;A;Almqvist;6;0;0;0;0;0;0;0;0;0
7023;A;Pellegrino M.;6;0;0;0;0;0;0;0;0;0
7065;ALL;Cuesta;6;0;0;0;0;0;0;0;0;0
Pisa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2861;P;Semper;6.5;0;1;0;0;0;0;0;0;0
697;D;Cuadrado;5.5;0;0;0;0;0;0;0;0;0
2273;D;Caracciolo A.;6;0;0;0;0;0;0;0;0;0
2745;D;Calabresi;6;0;0;0;0;0;0;0;0;0
6411;D;Mateus Lusuardi;6;0;0;0;0;0;0;0;0;0
7139;D;Canestrelli;6;0;0;0;0;0;0;0;0;0
7143;D;Angori;5;0;0;0;0;0;0;0;0;0
2334;C;Leris;6*;0;0;0;0;0;0;0;0;0
5318;C;Tramoni M.;5.5;0;0;0;0;0;0;0;0;0
5561;C;Stengs;6*;0;0;0;0;0;0;0;0;0
5784;C;Aebischer;6;0;0;0;0;0;0;0;0;0
7146;C;Tourè I.;6;0;0;0;0;0;0;0;0;0
7149;C;Marin M.;5.5;0;0;0;0;0;0;1;0;0
5336;A;Nzola;5.5;0;0;0;0;0;0;0;0;0
5455;A;Moreo;5.5;0;0;0;0;0;0;0;0;0
6836;A;Meister;5;0;0;0;0;0;0;1;0;0
698;ALL;Gilardino;5.5;0;0;0;0;0;0;0;0;0
Roma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5841;P;Svilar;6.5;0;0;0;0;0;0;0;0;0
2296;D;Mancini;6;0;0;0;0;0;0;0;0;0
4317;D;N'Dicka;6.5;0;0;0;0;0;0;0;0;0
4657;D;Celik;6*;0;0;0;0;0;0;0;0;0
4772;D;Angelino;5.5;0;0;0;0;0;0;0;0;0
4807;D;Hermoso;6.5;0;0;0;0;0;0;0;0;0
6986;D;Rensch;6*;0;0;0;0;0;0;0;0;0
7181;D;Wesley;6;0;0;0;0;0;0;0;0;0
779;C;Cristante;6;0;0;0;0;0;0;0;0;0
795;C;El Shaarawy;6;0;0;0;0;0;0;0;0;0
5589;C;Konè M.;6.5;0;0;0;0;0;0;0;0;0
6271;C;El Aynaoui;6*;0;0;0;0;0;0;0;0;0
309;A;Dybala;6.5;0;0;0;0;0;0;0;0;0
5734;A;Soulè;7;1;0;0;0;0;0;0;0;0
6365;A;Ferguson E.;6.5;0;0;0;0;0;0;1;0;1
6675;A;Dovbyk;5.5;0;0;0;0;0;0;0;0;0
684;ALL;Gasperini;6.5;0;0;0;0;0;0;0;0;0
Sassuolo;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4236;P;Muric;6.5;0;3;0;0;0;0;0;0;0
4374;D;Walukiewicz;5.5;0;0;0;0;0;0;0;0;0
5851;D;Doig;5;0;0;0;0;0;0;1;0;0
6672;D;Idzes;5.5;0;0;0;0;0;0;0;0;0
6985;D;Candè;5.5;0;0;0;0;0;0;0;0;0
7155;D;Muharemovic;5;0;0;0;0;0;0;0;0;0
2528;C;Matic;5;0;0;0;0;0;0;0;0;0
5610;C;Vranckx;5.5;0;0;0;0;0;0;0;0;0
5735;C;Volpato;6.5;0;0;0;0;0;0;0;0;1
6219;C;Boloca;5.5;0;0;0;0;0;0;0;0;0
6246;C;Lipani;5.5;0;0;0;0;0;0;0;0;0
6815;C;Fadera;5.5;0;0;0;0;0;0;0;0;0
7157;C;Iannoni;6*;0;0;0;0;0;0;1;0;0
531;A;Berardi;7;0;0;0;0;1;0;0;0;0
2038;A;Pinamonti;7;1;0;0;0;0;0;0;0;0
6060;A;Laurientè;5.5;0;0;0;0;0;0;0;0;0
4864;ALL;Grosso;5.5;0;0;0;0;0;0;0;0;0
Torino;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
7179;P;Israel;6.5;0;0;0;0;0;0;0;0;0
252;D;Biraghi;6.5;0;0;0;0;0;0;0;0;0
4385;D;Lazaro;6;0;0;0;0;0;0;1;0;0
4665;D;Maripan;6.5;0;0;0;0;0;0;0;0;0
6426;D;Pedersen;6;0;0;0;0;0;0;0;0;0
6642;D;Coco;6.5;0;0;0;0;0;0;0;0;0
4890;C;Tameze;6*;0;0;0;0;0;0;0;0;0
5007;C;Ilic;6;0;0;0;0;0;0;0;0;0
5687;C;Vlasic;6;0;0;0;0;0;0;1;0;0
5719;C;Asllani;5.5;0;0;0;0;0;0;0;0;0
5888;C;Casadei;6.5;0;0;0;0;0;0;0;0;0
6170;C;Gineitis;5.5;0;0;0;0;0;0;0;0;0
2061;A;Simeone;6.5;0;0;0;0;0;0;0;0;0
6145;A;Ngonge;5.5;0;0;0;0;0;0;0;0;0
6646;A;Adams C.;5.5;0;0;0;0;0;0;0;0;0
7183;A;Aboukhlal;6*;0;0;0;0;0;0;0;0;0
2248;ALL;Baroni;6.5;0;0;0;0;0;0;0;0;0
Udinese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6842;P;Sava;6;0;1;0;0;0;0;1;0;0
5820;D;Bertola;6;0;0;0;0;0;0;1;0;0
6047;D;Ehizibue;6;0;0;0;0;0;0;0;0;0
6211;D;Zemura;6;0;0;0;0;0;0;0;0;0
6485;D;Kristensen T.;6.5;0;0;0;0;0;0;0;0;0
6537;D;Goglichidze;6;0;0;0;0;0;0;0;0;0
6900;D;Rui Modesto;6*;0;0;0;0;0;0;0;0;0
6956;D;Solet;7;0;0;0;0;0;0;0;0;0
6212;C;Zarraga;6;0;0;0;0;0;0;1;0;0
6680;C;Karlstrom;6.5;0;0;0;0;0;0;0;0;0
6684;C;Ekkelenkamp;6;0;0;0;0;0;0;0;0;0
6908;C;Atta;7;1;0;0;0;0;0;0;0;0
7198;C;Piotrowski;6;0;0;0;0;0;0;0;0;0
5637;A;Davis K.;8;0;0;0;0;1;0;0;0;1
7161;A;Bayo V.;6;0;0;0;0;0;0;0;0;0
7249;A;Buksa;6;0;0;0;0;0;0;0;0;0
6623;ALL;Runjaic;8;0;0;0;0;0;0;0;0;0
Verona;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4957;P;Montipò;5;0;4;0;0;0;0;0;0;0
5532;D;Bradaric;5;0;0;0;0;0;0;0;0;0
5994;D;Ebosse;5;0;0;0;0;0;0;0;0;0
6639;D;Frese;5.5;0;0;0;0;0;0;0;0;0
6894;D;Unai Nunez;4.5;0;0;0;0;0;0;0;0;0
7018;D;Nelsson;4;0;0;0;0;0;0;0;0;0
7220;D;Belghali;5.5;0;0;0;0;0;0;0;0;0
7222;D;Cham;5.5;0;0;0;0;0;0;0;0;0
7253;D;Bella-Kotchap;5;0;0;0;0;0;0;0;0;0
5688;C;Harroui;5.5;0;0;0;0;0;0;0;0;0
6458;C;Serdar;5;0;0;0;0;0;0;0;0;0
7010;C;Al-Musrati;5.5;0;0;0;0;0;0;0;0;0
7028;C;Bernede;5.5;0;0;0;0;0;0;0;0;0
6159;A;Sarr A.;5;0;0;0;0;0;0;0;0;0
6630;A;Mosquera;6;0;0;0;0;0;0;0;0;0
7162;A;Giovane;6;0;0;0;0;0;0;0;0;0
5497;ALL;Zanetti;4;0;0;0;0;0;0;0;0;0
