Voti Fantacalcio 20ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;7;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;6.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;6;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;6;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;6.5;0;0;0;0;0;0;0;0;1
22;C;De Roon;6;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;7;1;0;0;0;0;0;0;0;0
5119;C;Samardzic;6*;0;0;0;0;0;0;0;0;0
5295;C;Musah;6;0;0;0;0;0;0;1;0;0
5422;C;Zalewski;6.5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6.5;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;6.5;0;0;0;0;0;0;0;0;1
5995;A;De Ketelaere;7.5;1;0;0;0;0;0;0;0;0
6435;A;Krstovic;6;0;0;0;0;0;0;0;0;0
1909;ALL;Palladino;6.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2722;P;Ravaglia F.;6;0;1;0;0;0;0;0;0;0
4433;D;Zortea;5.5;0;0;0;0;0;0;1;0;0
4734;D;Miranda J.;6.5;0;0;0;0;0;0;0;0;0
5498;D;Casale;6.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;5.5;0;0;0;0;0;0;0;0;0
7068;D;Vitik;6.5;0;0;0;0;0;0;0;0;0
7212;D;Heggem;6.5;0;0;0;0;0;0;0;0;0
788;C;Freuler;6.5;0;0;0;0;0;0;1;0;0
5298;C;Pobega;5.5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;6;0;0;0;0;0;0;1;0;0
6024;C;Sulemana I.;5.5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
6844;C;Rowe;5.5;0;0;0;0;0;0;0;0;0
785;A;Immobile;5.5;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;6;1;0;0;0;0;0;0;1;0
6572;A;Castro S.;6.5;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;6.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;5.5;0;3;0;0;0;0;0;0;0
393;D;Luperto;5;0;0;0;0;0;0;1;0;0
4461;D;Zappa;5.5;0;0;0;0;0;0;0;0;0
5701;D;Obert;5;0;0;0;0;0;0;1;0;0
6832;D;Palestra;5.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;5;0;0;0;0;0;0;0;0;0
7268;D;Rodriguez Ju.;5;0;0;0;0;0;0;1;0;0
