Voti Fantacalcio 6ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;1;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;1;0;0
6046;D;Hien;7;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;6.5;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;6;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;6;0;0;0;0;0;0;0;0;0
4896;C;Maldini;6;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;6;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;7;1;0;0;0;0;0;0;0;0
5295;C;Musah;6;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6;0;0;0;0;0;0;0;0;0
4730;A;Lookman;5.5;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6;0;0;0;0;0;0;0;0;0
1924;ALL;Juric;6;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;0;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;6.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;6.5;0;0;0;0;0;0;0;0;0
7212;D;Heggem;6.5;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6;0;0;0;0;0;0;0;0;0
788;C;Freuler;6.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;7;1;0;0;0;0;0;0;0;0
2765;C;Odgaard;6.5;1;0;0;0;0;0;0;0;0
5298;C;Pobega;6;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;7;1;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6.5;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;8;1;0;0;0;0;0;0;0;1
6643;A;Dallinga;6;0;0;0;0;0;0;0;0;1
6895;A;Dominguez B.;6;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;7;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7;0;1;0;0;0;0;0;0;0
4210;D;Mina;6;0;0;0;0;0;0;0;0;0
5406;D;Di Pardo;5.5;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;1;0;0
6832;D;Palestra;5.5;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;5;0;0;0;0;0;0;0;0;0
1871;C;Deiola;5.5;0;0;0;0;0;0;0;0;0
4870;C;Adopo;6;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;6;0;0;0;0;0;0;0;0;0
6424;C;Prati;6;0;0;0;0;0;0;0;0;0
6640;C;Felici;5.5;0;0;0;0;0;0;1;0;0
7225;C;Cavuoti;6*;0;0;0;0;0;0;0;0;0
247;A;Pavoletti;6*;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;0;0;0
5297;A;Luvumbo;6;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;7;1;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;6;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;1;0;0;0;0;0;0;0
4137;D;Diego Carlos;6.5;0;0;0;0;0;0;1;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
6066;D;Posch;6*;0;0;0;0;0;0;0;0;0
