Voti Fantacalcio 3ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6;0;1;0;0;0;0;0;0;0
4887;D;Bellanova;6.5;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;7;1;0;0;0;0;0;0;0;0
5578;D;Kossounou;6.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;6.5;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;6*;0;0;0;0;0;0;0;0;0
22;C;De Roon;7;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;6.5;0;0;0;0;0;0;0;0;0
4896;C;Maldini;6;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;6;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;6;0;0;0;0;0;0;0;0;0
5295;C;Musah;6;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;7.5;1;0;0;0;0;0;0;0;1
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;8;2;0;0;0;0;0;0;0;0
6435;A;Krstovic;6.5;0;0;0;0;0;0;0;0;2
1924;ALL;Juric;7.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;1;0;0;0;0;1;0;0
2653;D;Lykogiannis;5.5;0;0;0;0;0;0;0;0;0
4433;D;Zortea;5.5;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;5.5;0;0;0;0;0;0;1;0;0
6042;D;Lucumì;5.5;0;0;0;0;0;0;0;0;0
7212;D;Heggem;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;5.5;0;0;0;0;0;0;0;0;0
788;C;Freuler;5.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;5.5;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;6;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;6;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;5.5;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;5.5;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;5.5;0;0;0;0;0;0;0;0;0
6643;A;Dallinga;6*;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;6;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7;0;0;0;0;0;0;0;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;7;1;0;0;0;0;0;0;0;0
4461;D;Zappa;6;0;0;0;0;0;0;1;0;0
5701;D;Obert;6.5;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6.5;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;6*;0;0;0;0;0;0;0;0;0
1871;C;Deiola;6;0;0;0;0;0;0;1;0;0
4364;C;Gaetano;6;0;0;0;0;0;0;0;0;0
4870;C;Adopo;6;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;6;0;0;0;0;0;0;0;0;0
6424;C;Prati;6;0;0;0;0;0;0;0;0;0
6640;C;Felici;7;1;0;0;0;0;0;0;0;0
441;A;Belotti;5.5;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;6;0;0;0;0;0;0;1;0;0
6243;A;Borrelli;6;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;7;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;1;0;0;0;0;0;0;0
4994;D;Vojvoda;5.5;0;0;0;0;0;0;0;0;0
6867;D;Valle;6;0;0;0;0;0;0;1;0;0
6869;D;Ramon;5.5;0;0;0;0;0;0;0;1;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
4284;C;Sergi Roberto;5.5;0;0;0;0;0;0;1;0;0
5036;C;Caqueret;6.5;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6;0;0;0;0;0;0;0;0;0
6151;C;Perrone;5.5;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;7;1;0;0;0;0;0;0;0;0
7126;C;Baturina;6*;0;0;0;0;0;0;0;0;0
313;A;Morata;5.5;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;6;0;0;0;0;0;0;0;0;0
7127;A;Addai;6;0;0;0;0;0;0;0;0;0
7128;A;Kuhn;6.5;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;5.5;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;6;0;0;0;0;0;0;1;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;7.5;0;0;0;0;0;0;0;0;0
612;D;Bianchetti;5.5;0;0;0;0;0;0;0;0;0
770;D;Pezzella Giu.;5.5;0;0;0;0;0;0;0;0;0
