Voti Fantacalcio 16ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
2640;D;Kolasinac;6.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;7;1;0;0;0;0;0;0;0;0
7219;D;Bernasconi;5.5;0;0;0;0;0;0;0;0;0
22;C;De Roon;6;0;0;0;0;0;0;0;0;0
4896;C;Maldini;6.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;6*;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;5;0;0;0;0;0;0;1;0;0
5295;C;Musah;6;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6.5;0;0;0;0;0;0;1;0;1
5792;C;Ederson D.S.;6;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;5.5;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;5;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6*;0;0;0;0;0;0;0;0;0
1909;ALL;Palladino;5.5;0;0;0;0;0;0;1;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2722;P;Ravaglia F.;6.5;0;2;0;0;0;0;0;0;0
4433;D;Zortea;6*;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;6;0;0;0;0;0;0;0;0;0
5678;D;Holm;5.5;0;0;0;0;0;0;0;0;0
7068;D;Vitik;6.5;0;0;0;0;0;0;1;0;0
7212;D;Heggem;7;0;0;0;0;0;0;0;0;0
788;C;Freuler;6;0;0;0;0;0;1;0;0;1
2167;C;Orsolini;7;1;0;0;0;0;0;1;0;0
2765;C;Odgaard;6.5;1;0;0;0;0;0;0;0;0
5298;C;Pobega;6.5;0;0;0;0;0;0;0;0;1
5858;C;Ferguson;6*;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;5.5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6*;0;0;0;0;0;0;0;0;0
785;A;Immobile;5.5;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;7;1;0;0;0;0;0;0;0;0
6895;A;Dominguez B.;6.5;0;0;0;0;0;0;0;0;1
4993;ALL;Italiano;7;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6;0;2;0;0;0;0;0;0;0
4210;D;Mina;5.5;0;0;0;0;0;0;1;0;0
4461;D;Zappa;6.5;0;0;0;0;0;0;0;0;1
5701;D;Obert;6;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;5.5;0;0;0;0;0;0;0;0;0
7268;D;Rodriguez Ju.;6;0;0;0;0;0;0;0;0;0
1871;C;Deiola;6;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;6;0;0;0;0;0;0;0;0;0
4364;C;Gaetano;6.5;0;0;0;0;0;0;0;0;1
4870;C;Adopo;5;0;0;0;0;0;0;1;0;0
6252;C;Folorunsho;7;1;0;0;0;0;0;0;0;0
7225;C;Cavuoti;6*;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;1;0;0
6243;A;Borrelli;6*;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;7;1;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;6;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;5.5;0;3;0;0;0;0;0;0;0
4137;D;Diego Carlos;5.5;0;0;0;0;0;0;0;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
5435;D;Moreno Alb.;5.5;0;0;0;0;0;0;0;0;0
6869;D;Ramon;5.5;0;0;0;0;0;0;1;0;0
6893;D;Kempf;6.5;1;0;0;0;0;0;0;0;0
6896;D;Van Der Brempt;5.5;0;0;0;0;0;0;0;0;0
4284;C;Sergi Roberto;6;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6;0;0;0;0;0;0;0;0;0
6151;C;Perrone;5.5;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;6.5;0;0;0;0;0;0;0;0;0
7126;C;Baturina;6.5;0;0;0;0;0;0;0;0;1
7017;A;Douvikas;5.5;0;0;0;0;0;0;0;0;0
7128;A;Kuhn;5.5;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;6.5;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;6;0;0;0;0;0;0;0;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;6;0;0;0;0;0;0;0;0;0
770;D;Pezzella Giu.;6;0;0;0;0;0;0;1;0;0
1891;D;Ceccherini;5;0;0;0;0;0;0;0;1;0
5812;D;Terracciano F.;6.5;0;0;0;0;0;0;0;0;0
5835;D;Baschirotto;6.5;0;0;0;0;0;0;0;0;0
6013;D;Barbieri;6.5;0;0;0;0;0;0;1;0;0
7130;D;Folino;6;0;0;0;0;0;0;0;0;0
7131;D;Floriani Mussolini;6*;0;0;0;0;0;0;0;0;0
27;C;Grassi;6;0;0;0;0;0;0;1;0;0
5992;C;Bondo;6.5;0;0;0;0;0;0;0;0;0
5998;C;Zerbin;5.5;0;0;0;0;0;0;0;0;0
7133;C;Vandeputte;6.5;0;0;0;0;0;0;0;0;0
479;A;Sanabria;6;0;0;0;0;0;0;0;0;0
505;A;Bonazzoli;6.5;0;0;0;0;0;0;0;0;0
2499;A;Vardy;5.5;0;0;0;0;0;0;0;0;0
5496;A;Johnsen;5.5;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;6.5;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6;0;1;0;0;0;0;0;0;0
4378;D;Ranieri L.;6;0;0;0;0;0;0;1;0;0
5449;D;Parisi;7.5;0;0;0;0;0;0;1;0;1
5603;D;Pongracic;6.5;0;0;0;0;0;0;0;0;0
5718;D;Viti;6*;0;0;0;0;0;0;0;0;0
5885;D;Dodò;7;0;0;0;0;0;0;0;0;1
6495;D;Comuzzo;6.5;0;0;0;0;0;0;0;0;0
7069;D;Fortini;6.5;0;0;0;0;0;0;0;0;0
