Voti Fantacalcio 1ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;1;0;0;0;0;0;0;0
787;D;Djimsiti;5;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;5.5;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;5.5;0;0;0;0;0;0;0;0;0
5578;D;Kossounou;6*;0;0;0;0;0;0;0;0;0
6046;D;Hien;5;0;0;0;0;0;1;0;0;0
22;C;De Roon;5.5;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;6;0;0;0;0;0;0;0;0;1
4896;C;Maldini;5.5;0;0;0;0;0;0;1;0;0
5119;C;Samardzic;6*;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6.5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;5.5;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;7;1;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;1;0;0
5995;A;De Ketelaere;5.5;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;5.5;0;0;0;0;0;0;0;0;0
1924;ALL;Juric;5.5;0;0;0;0;0;0;1;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;1;0;0;0;0;0;0;0
487;D;De Silvestri;6;0;0;0;0;0;0;0;0;0
2653;D;Lykogiannis;5;0;0;0;0;0;0;0;0;0
4433;D;Zortea;5.5;0;0;0;0;0;0;0;0;0
5498;D;Casale;5.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;5;0;0;0;0;0;0;0;0;0
7068;D;Vitik;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6*;0;0;0;0;0;0;0;0;0
788;C;Freuler;6;0;0;0;0;0;0;1;0;0
2167;C;Orsolini;6;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;5;0;0;0;0;0;0;0;0;0
5298;C;Pobega;5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
785;A;Immobile;6;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;5;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;6.5;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;5.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6;0;1;0;0;0;0;0;0;0
393;D;Luperto;7;1;0;0;0;0;0;0;0;0
4210;D;Mina;5.5;0;0;0;0;0;0;0;0;0
4461;D;Zappa;6;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;1;0;0
7125;D;Idrissi R.;6;0;0;0;0;0;0;0;0;0
1871;C;Deiola;6;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;6;0;0;0;0;0;0;1;0;0
4364;C;Gaetano;6.5;0;0;0;0;0;0;0;0;1
4870;C;Adopo;6;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;6;0;0;0;0;0;0;0;0;0
6424;C;Prati;6;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;6;0;0;0;0;0;0;0;0;0
5297;A;Luvumbo;6;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;5.5;0;0;0;0;0;0;1;0;0
7199;A;Kilicsoy;6*;0;0;0;0;0;0;1;0;0
1869;ALL;Pisacane;6.5;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;0;0;0;0;0;0;0;0
4994;D;Vojvoda;7;0;0;0;0;0;0;0;0;0
6867;D;Valle;6.5;0;0;0;0;0;0;0;0;0
6869;D;Ramon;7;0;0;0;0;0;0;0;0;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
6896;D;Van Der Brempt;6;0;0;0;0;0;0;1;0;0
7014;D;Smolcic I.;6;0;0;0;0;0;0;0;0;0
4284;C;Sergi Roberto;6*;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6*;0;0;0;0;0;0;0;0;0
