Voti Fantacalcio 18ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;7;0;0;0;0;0;0;0;0;0
2640;D;Kolasinac;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;7;1;0;0;0;0;0;0;0;0
6046;D;Hien;6;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;6.5;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;6.5;0;0;0;0;0;0;0;0;0
22;C;De Roon;6.5;0;0;0;0;0;0;1;0;0
4896;C;Maldini;6;0;0;0;0;0;0;0;0;0
5295;C;Musah;6;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6;0;0;0;0;0;0;0;0;1
5792;C;Ederson D.S.;6;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;6;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6;0;0;0;0;0;0;0;0;0
1909;ALL;Palladino;6.5;0;0;0;0;0;0;1;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2722;P;Ravaglia F.;7;0;3;0;0;0;0;0;0;0
2653;D;Lykogiannis;6;0;0;0;0;0;0;1;0;1
4433;D;Zortea;5.5;0;0;0;0;0;0;0;0;0
5678;D;Holm;5.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;5;0;0;0;0;0;0;0;0;0
7068;D;Vitik;5.5;0;0;0;0;0;0;1;0;0
7212;D;Heggem;5.5;0;0;0;0;0;0;0;0;0
788;C;Freuler;6*;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;6;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;5.5;0;0;0;0;0;0;0;0;0
5298;C;Pobega;5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;5.5;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;6;0;0;0;0;0;0;0;0;0
6844;C;Rowe;5;0;0;0;0;0;0;1;0;0
4436;A;Cambiaghi;5;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;6.5;1;0;0;0;0;0;0;0;0
4993;ALL;Italiano;5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6;0;1;0;0;0;0;0;0;0
393;D;Luperto;5.5;0;0;0;0;0;0;0;0;0
4461;D;Zappa;5.5;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6;0;0;0;0;0;0;1;0;0
7125;D;Idrissi R.;6;0;0;0;0;0;0;1;0;0
7268;D;Rodriguez Ju.;6;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;5.5;0;0;0;0;0;0;0;0;0
4364;C;Gaetano;6;0;0;0;0;0;0;0;0;0
4870;C;Adopo;5.5;0;0;0;0;0;0;0;0;0
6424;C;Prati;5.5;0;0;0;0;0;0;0;0;0
7225;C;Cavuoti;6*;0;0;0;0;0;0;0;0;0
247;A;Pavoletti;6*;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;6;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;5.5;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;5.5;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;6;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;0;0;0;0;0;0;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
5435;D;Moreno Alb.;6;0;0;0;0;0;0;0;0;0
6066;D;Posch;6*;0;0;0;0;0;0;0;0;0
6867;D;Valle;6*;0;0;0;0;0;0;0;0;0
6869;D;Ramon;6.5;0;0;0;0;0;0;0;0;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
6896;D;Van Der Brempt;6;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;6*;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;7;0;0;0;0;1;0;0;0;0
6151;C;Perrone;6.5;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;6;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;6;0;0;0;0;0;0;0;0;0
7128;A;Kuhn;6*;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;6.5;0;0;0;0;0;0;1;0;0
2485;ALL;Fabregas;6.5;0;0;0;0;0;0;0;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;6.5;0;1;0;0;0;0;0;0;0
770;D;Pezzella Giu.;5.5;0;0;0;0;0;0;0;0;0
5812;D;Terracciano F.;6.5;0;0;0;0;0;0;0;0;0
5835;D;Baschirotto;6;0;0;0;0;0;0;0;0;0
6013;D;Barbieri;6;0;0;0;0;0;0;0;0;0
7130;D;Folino;5.5;0;0;0;0;0;0;0;0;0
27;C;Grassi;6;0;0;0;0;0;0;0;0;0
449;C;Vazquez;6;0;0;0;0;0;0;0;0;0
5992;C;Bondo;5.5;0;0;0;0;0;0;1;0;0
5998;C;Zerbin;6;0;0;0;0;0;0;0;0;0
6481;C;Payero;6;0;0;0;0;0;0;1;0;0
7133;C;Vandeputte;5.5;0;0;0;0;0;0;0;0;0
479;A;Sanabria;6;0;0;0;0;0;0;0;0;0
505;A;Bonazzoli;5.5;0;0;0;0;0;0;0;0;0
2499;A;Vardy;5.5;0;0;0;0;0;0;0;0;0
6555;A;Moumbagna;5.5;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;5.5;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6.5;0;0;0;0;0;0;0;0;0
2160;D;Gosens;6;0;0;0;0;0;0;0;0;0
4378;D;Ranieri L.;5.5;0;0;0;0;0;0;0;0;0
5449;D;Parisi;6;0;0;0;0;0;0;0;0;0
5603;D;Pongracic;6;0;0;0;0;0;0;0;0;0
5885;D;Dodò;6;0;0;0;0;0;0;1;0;0
6495;D;Comuzzo;6.5;0;0;0;0;0;0;0;0;0
7069;D;Fortini;6;0;0;0;0;0;0;0;0;0
1933;C;Mandragora;6;0;0;0;0;0;0;0;0;0
