id,role,name,team,quotation
6294,C,Ndour,Fiorentina,6
5564,C,Ndoye,Bologna,19
7322,C,Ngom,Lecce,1
5540,C,Niasse,Verona,5
4349,C,Nicolussi Caviglia,Fiorentina,3
6538,C,Onana J.,Genoa,2
6984,C,Ondrejka,Parma,5
5824,C,Pafundi,Udinese,1
6481,C,Payero,Cremonese,7
6151,C,Perrone,Como,16
7145,C,Piccinini G.,Pisa,5
5857,C,Pickel,Cremonese,2
6549,C,Pierotti,Lecce,6
6633,C,Pierret,Lecce,1
7198,C,Piotrowski,Udinese,8
6190,C,Pisilli,Roma,6
5298,C,Pobega,Bologna,11
6424,C,Prati,Cagliari,6
6222,C,Rafia,Lecce,1
6394,C,Ramadani,Lecce,5
6804,C,Richardson,Fiorentina,2
5788,C,Sabiri,Fiorentina,2
7246,C,Sala A.,Lecce,1
7177,C,Santiago,Verona,1
6528,C,Sarmiento J.,Cremonese,3
6458,C,Serdar,Verona,11
4284,C,Sergi Roberto,Como,3
7209,C,Sorensen O.,Parma,6
5561,C,Stengs,Pisa,1
4486,C,Strefezza,Como,14
6024,C,Sulemana I.,Cagliari,2
6486,C,Suslov,Verona,1
4890,C,Tameze,Torino,4
7314,C,Taylor K.,Lazio,13
6634,C,Tete Morente,Lecce,3
4404,C,Thorsby,Genoa,14
2274,C,Valoti,Cremonese,1
181,C,Vecino,Lazio,6
6980,C,Venturino,Roma,1
7223,C,Vergara,Napoli,2
5735,C,Volpato,Sassuolo,12
5610,C,Vranckx,Sassuolo,2
7150,C,Vural,Pisa,2
4662,C,Weah,Juventus,7
2842,C,Zanimacchia,Cremonese,5
6212,C,Zarraga,Udinese,2
5998,C,Zerbin,Cremonese,6
5761,C,Zhegrova,Juventus,9
6885,D,Abdulhamid,Roma,1
513,D,Acerbi,Inter,6
6916,D,Ahanor,Atalanta,6
388,D,Albiol,Pisa,3
7143,D,Angori,Pisa,9
7312,D,Arizala,Udinese,1
7211,D,Athekame,Milan,3
6231,D,Azzi,Cremonese,3
5353,D,Balogh,Parma,3
6013,D,Barbieri,Cremonese,9
7220,D,Belghali,Verona,10
7253,D,Bella-Kotchap,Verona,4
7219,D,Bernasconi,Atalanta,8
5820,D,Bertola,Udinese,6
6202,D,Beukema,Napoli,7
612,D,Bianchetti,Cremonese,6
6444,D,Bonfanti,Pisa,2
7325,D,Bozhinov,Pisa,2
5532,D,Bradaric,Verona,5
7255,D,Britschgi,Parma,7
6039,D,Cabal,Juventus,10
2745,D,Calabresi,Pisa,5
6985,D,Candè,Sassuolo,2
7139,D,Canestrelli,Pisa,5
5498,D,Casale,Bologna,2
