id,role,name,team,quotation
6889,C,Anjorin,Torino,3
6640,C,Felici,Cagliari,12
6274,C,Diouf,Inter,2
6024,C,Sulemana I.,Bologna,1
6005,C,Ilkhan,Torino,2
5998,C,Zerbin,Cremonese,6
5610,C,Vranckx,Sassuolo,3
5540,C,Niasse,Verona,4
5290,C,Estevez,Parma,5
4970,C,Messias,Genoa,2
4349,C,Nicolussi Caviglia,Fiorentina,3
4284,C,Sergi Roberto,Como,3
2848,C,Frattesi,Inter,4
2670,C,Bailey,Roma,8
2334,C,Leris,Pisa,12
7274,D,Zè Pedro,Cagliari,2
7125,D,Idrissi R.,Cagliari,8
6986,D,Rensch,Roma,6
6957,D,Valentini N.,Verona,3
6916,D,Ahanor,Atalanta,5
6893,D,Kempf,Como,14
6660,D,Marcandalli,Genoa,6
6531,D,Jimenez A.,Milan,5
6039,D,Cabal,Juventus,9
5427,D,Gutierrez,Napoli,3
5010,D,Ismajli,Torino,6
2653,D,Lykogiannis,Bologna,2
791,D,Sabelli,Genoa,2
5320,P,Paleari,Torino,11
7183,A,Aboukhlal,Torino,3
6555,A,Moumbagna,Cremonese,2
6229,A,Tourè E.,Atalanta,7
6159,A,Sarr A.,Verona,5
7246,C,Sala A.,Lecce,1
6633,C,Pierret,Lecce,1
4930,C,Ghion,Sassuolo,4
4890,C,Tameze,Torino,5
7326,D,Helland,Bologna,4
7069,D,Fortini,Fiorentina,6
6977,D,Otoa,Genoa,3
6802,D,Savona,Juventus,3
5168,D,Tsimikas,Roma,4
388,D,Albiol,Pisa,3
6462,P,Okoye,Udinese,10
7161,A,Bayo V.,Udinese,3
6644,A,Rocha Livramento,Verona,3
6439,A,Cheddira,Sassuolo,6
5496,A,Johnsen,Cremonese,6
1842,A,Pierini,Sassuolo,2
7276,C,Cremaschi,Parma,1
7157,C,Iannoni,Sassuolo,5
6804,C,Richardson,Fiorentina,2
6528,C,Sarmiento J.,Cremonese,3
6481,C,Payero,Cremonese,8
6246,C,Lipani,Sassuolo,3
6010,C,Fazzini,Fiorentina,3
5850,C,Lovric,Udinese,3
5007,C,Ilic,Torino,3
2117,C,Kastanos,Verona,1
27,C,Grassi,Cremonese,5
7235,D,Troilo,Parma,2
7211,D,Athekame,Milan,3
7202,D,Ndiaye,Parma,1
7182,D,Ndaba,Lecce,3
6896,D,Van Der Brempt,Como,3
6809,D,Marianucci,Napoli,2
6631,D,Ghilardi,Roma,4
6444,D,Bonfanti,Pisa,2
6211,D,Zemura,Udinese,2
6055,D,Thiaw,Milan,4
6047,D,Ehizibue,Udinese,3
5435,D,Moreno Alb.,Como,9
5156,D,Nkounkou,Torino,2
4904,D,Marì,Fiorentina,2
2279,D,Romagna,Sassuolo,1
2263,D,Lazzari,Lazio,4
1891,D,Ceccherini,Cremonese,2
487,D,De Silvestri,Bologna,2
294,D,Rugani,Juventus,2
49,D,Masina,Torino,2
7213,A,Frigan,Parma,1
7153,A,Lind,Pisa,4
6459,A,Karlsson,Bologna,3
5471,A,Djuric,Parma,2
7010,C,Al-Musrati,Verona,3
6225,C,El Azzouzi,Bologna,3
6222,C,Rafia,Lecce,1
6191,C,Belahyane,Lazio,3
5872,C,Helgason,Lecce,2
7154,D,Odenthal,Sassuolo,1
7020,D,Salah-Eddine,Roma,4
7012,D,Provstgaard,Lazio,3
7011,D,Slotsager,Verona,4
6965,D,Lovik,Parma,2
6900,D,Rui Modesto,Udinese,1
6537,D,Goglichidze,Udinese,2
6231,D,Azzi,Cremonese,3
6066,D,Posch,Como,9
5994,D,Ebosse,Verona,2
5718,D,Viti,Fiorentina,2
5498,D,Casale,Bologna,2
5353,D,Balogh,Parma,3
4982,D,Erlic,Bologna,3
2745,D,Calabresi,Pisa,5
322,D,De Vrij,Inter,3
7165,C,Liteta,Cagliari,1
7150,C,Vural,Pisa,2
6212,C,Zarraga,Udinese,2
5824,C,Pafundi,Udinese,1
5457,C,Maleh,Lecce,4
5286,C,Akpa Akpro,Verona,2
4911,C,Douglas Luiz,Juventus,3
801,C,Gagliardini,Verona,8
7240,D,Siebert,Lecce,2
7222,D,Cham,Verona,2
418,D,Goldaniga,Como,1
7027,A,Azon,Como,1
6628,A,Taremi,Inter,4
6227,A,Okafor,Milan,4
6213,A,Brenner,Udinese,3
2012,A,Milik,Juventus,1
7223,C,Vergara,Napoli,2
5863,C,Castagnetti,Cremonese,3
4677,C,Cornet,Genoa,1
4662,C,Weah,Juventus,7
2842,C,Zanimacchia,Cremonese,5
7325,D,Bozhinov,Pisa,2
7271,D,Odogu,Milan,1
7175,D,Joao Mario,Juventus,2
7130,D,Folino,Cremonese,7
6985,D,Candè,Sassuolo,2
6870,D,Faye,Cremonese,2
6821,D,Hainaut,Parma,2
6533,D,Giannetti L.,Udinese,3
6411,D,Mateus Lusuardi,Pisa,2
6351,D,Lamptey,Fiorentina,1
6230,D,Dossena,Como,1
6189,D,Missori,Sassuolo,2
6041,D,Schuurs,Torino,1
4495,D,Kumbulla,Roma,2
327,D,Patric,Lazio,1
4957,P,Montipò,Verona,9
2861,P,Semper,Pisa,9
574,P,Scuffet,Pisa,4
6827,A,Njie,Torino,6
5845,A,Alvarez A.,Sassuolo,2
6722,C,Gronbaek,Genoa,2
6538,C,Onana J.,Genoa,2
6219,C,Boloca,Sassuolo,2
5788,C,Sabiri,Fiorentina,2
7196,D,Denoon,Pisa,1
7140,D,Coppola F.,Pisa,2
7136,D,Kouassi,Lecce,1
6992,D,Oyegoke,Verona,1
6944,D,Jack,Como,2
6925,D,Palma,Udinese,2
6803,D,Rouhi,Juventus,1
6665,D,Coulibaly W.,Sassuolo,1
5406,D,Di Pardo,Cagliari,2
140,D,Hysaj,Lazio,1
7134,A,Nasti,Cremonese,1
6635,A,Pizarro,Udinese,1
5515,A,Okereke,Cremonese,1
5512,A,De Luca,Cremonese,3
247,A,Pavoletti,Cagliari,1
6676,C,Engelhardt,Como,2
5857,C,Pickel,Cremonese,2
2274,C,Valoti,Cremonese,1
7156,D,Pieragnolo,Sassuolo,1
7141,D,Rus,Pisa,2
6883,D,Jean,Lecce,1
6431,D,Paz Y.,Sassuolo,1
6245,D,Vogliacco,Genoa,3
5899,D,Gigot,Lazio,1
5860,D,Ravanelli,Cremonese,2
5481,D,Mazzocchi,Napoli,3
511,P,Perilli,Verona,3
7152,A,Bonfanti N.,Pisa,1
7319,C,Fofana Sa.,Lecce,1
7177,C,Santiago,Verona,1
7147,C,Hojholt,Pisa,2
6645,C,Marchwinski,Lecce,1
