Team Name;Player Name;Price
Reazione di Mallard;Matic;1
Reazione di Mallard;Zaniolo;12
Reazione di Mallard;Ederson D.S.;90
Reazione di Mallard;Gudmundsson A.;99
Reazione di Mallard;Atta;1
Reazione di Mallard;Baturina;16
Reazione di Mallard;Simeone;49
Reazione di Mallard;Lukaku;32
Reazione di Mallard;David;295
Reazione di Mallard;Vitinha O.;1
Reazione di Mallard;Solomon;47
Reazione di Mallard;Durosinmi;1
Vietato Sognare FC;Gollini;1
Vietato Sognare FC;Muric;1
Vietato Sognare FC;Svilar;75
Vietato Sognare FC;Bremer;1
Vietato Sognare FC;Zortea;36
Vietato Sognare FC;Maripan;1
Vietato Sognare FC;Dumfries;91
Vietato Sognare FC;Valeri;16
Vietato Sognare FC;Carlos Augusto;11
Vietato Sognare FC;Kristensen T.;21
Vietato Sognare FC;Muharemovic;4
Vietato Sognare FC;Pellegrini Lo.;22
Vietato Sognare FC;Modric;52
Vietato Sognare FC;Zambo Anguissa;53
Vietato Sognare FC;Maldini;14
Vietato Sognare FC;Zalewski;5
Vietato Sognare FC;Casadei;3
Vietato Sognare FC;Bernabè;16
Vietato Sognare FC;Santos A.;1
Vietato Sognare FC;Bonazzoli;1
Vietato Sognare FC;Moreo;1
Vietato Sognare FC;Malen;190
Vietato Sognare FC;Hojlund;82
Vietato Sognare FC;Castro S.;27
Vietato Sognare FC;Ratkov;48
