Voti Fantacalcio 8ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;1;0;0;0;0;0;0;0
787;D;Djimsiti;5.5;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;5.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;6;0;0;0;0;0;0;0;0;0
22;C;De Roon;6;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;5.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;7;1;0;0;0;0;0;0;0;0
5119;C;Samardzic;6.5;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6.5;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;6;0;0;0;0;0;0;1;0;0
4730;A;Lookman;6;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6*;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;5.5;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;5;0;0;0;0;0;0;0;0;0
1924;ALL;Juric;5.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;7;0;2;0;0;0;0;0;0;0
4734;D;Miranda J.;6.5;0;0;0;0;0;0;0;0;0
5498;D;Casale;6*;0;0;0;0;0;0;0;0;0
5678;D;Holm;6;0;0;0;0;0;0;0;1;1
6042;D;Lucumì;6;0;0;0;0;0;0;1;0;0
7212;D;Heggem;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;5;0;0;0;0;0;0;0;0;0
788;C;Freuler;6;0;0;0;0;0;0;1;0;0
2167;C;Orsolini;6;0;0;0;0;0;0;0;0;0
5298;C;Pobega;5.5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;5.5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6;0;0;0;0;0;0;1;0;0
4436;A;Cambiaghi;7;1;0;0;0;0;0;0;0;0
6572;A;Castro S.;7;1;0;0;0;0;0;0;0;0
6643;A;Dallinga;6;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;6;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7.5;0;2;0;0;0;0;0;0;0
4461;D;Zappa;5;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;1;0;1
6832;D;Palestra;5.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;6.5;1;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;5;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;6*;0;0;0;0;0;0;1;0;0
4364;C;Gaetano;5.5;0;0;0;0;0;0;0;0;0
4870;C;Adopo;5;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;5.5;0;0;0;0;0;0;0;0;0
6424;C;Prati;5;0;0;0;0;0;0;0;0;0
6640;C;Felici;7;1;0;0;0;0;0;0;0;0
7165;C;Liteta;6;0;0;0;0;0;0;0;0;0
247;A;Pavoletti;6.5;0;0;0;0;0;0;1;0;0
5297;A;Luvumbo;6;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;6;0;0;0;0;0;0;1;0;0
1869;ALL;Pisacane;6.5;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6.5;0;0;0;0;0;0;0;0;0
4137;D;Diego Carlos;6.5;0;0;0;0;0;0;1;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
5435;D;Moreno Alb.;6;0;0;0;0;0;0;0;0;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;5.5;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6.5;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6;0;0;0;0;0;0;0;0;0
6151;C;Perrone;6;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;5.5;0;0;0;0;0;0;0;0;0
7126;C;Baturina;6;0;0;0;0;0;0;0;0;0
313;A;Morata;5.5;0;0;0;0;0;0;0;0;0
6967;A;Diao;5.5;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;6;0;0;0;0;0;0;0;0;0
