Voti Fantacalcio 23ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5496;A;Johnsen;6*;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;5.5;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6;0;2;0;0;0;0;0;0;0
2160;D;Gosens;5.5;0;0;0;0;0;0;0;0;0
4378;D;Ranieri L.;6;0;0;0;0;0;0;0;0;0
5449;D;Parisi;6;0;0;0;0;0;0;0;0;0
5603;D;Pongracic;5.5;0;0;0;0;0;0;0;0;0
5885;D;Dodò;6.5;0;0;0;0;0;0;0;0;0
6495;D;Comuzzo;6;0;0;0;0;0;0;0;0;0
1933;C;Mandragora;6;0;0;0;0;0;0;0;0;0
4465;C;Fagioli;5.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;5.5;0;0;0;0;0;0;0;0;0
5800;C;Gudmundsson A.;6;0;0;0;0;0;0;0;0;0
6010;C;Fazzini;6*;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;5.5;0;0;0;0;0;0;1;0;0
2097;A;Kean;6;0;0;0;0;0;0;0;0;0
4359;A;Piccoli;6.5;0;0;0;0;0;0;0;0;0
6380;A;Solomon;6.5;1;0;0;0;0;0;0;0;0
6619;ALL;Vanoli;5.5;0;0;0;0;0;0;0;0;0
Genoa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
7332;P;Bijlow;6;0;3;0;0;0;0;0;0;0
2593;D;Martin;4.5;0;0;0;0;0;0;0;0;0
5514;D;Vasquez;6.5;0;0;0;0;0;0;0;0;0
5750;D;Ostigard;5;0;0;0;0;0;0;1;0;0
6660;D;Marcandalli;5.5;0;0;0;0;0;0;0;0;0
6814;D;Norton-Cuffy;5.5;0;0;0;0;0;0;1;0;0
4427;C;Malinovskyi;7.5;0;0;0;0;1;0;1;0;0
4677;C;Cornet;6*;0;0;0;0;0;0;0;0;0
4970;C;Messias;6;0;0;0;0;0;0;0;0;0
5791;C;Frendrup;6.5;0;0;0;0;0;0;0;0;0
6020;C;Ellertsson;5.5;0;0;0;0;0;0;0;0;0
6917;C;Masini;6*;0;0;0;0;0;0;0;0;0
4923;A;Colombo;5.5;0;0;0;0;0;0;0;0;0
5506;A;Ekuban;6*;0;0;0;0;0;0;0;0;0
6164;A;Vitinha O.;7;1;0;0;0;0;0;0;0;0
463;ALL;De Rossi;6;0;0;0;0;0;0;0;0;0
Inter;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2428;P;Sommer;6.5;0;0;0;0;0;0;0;0;0
254;D;Dimarco;7;0;0;0;0;0;0;0;0;1
2120;D;Bastoni;6.5;0;0;0;0;0;0;0;0;0
2525;D;Darmian;6;0;0;0;0;0;0;0;0;0
4159;D;Akanji;6;0;0;0;0;0;0;0;0;0
6217;D;Bisseck;6;0;0;0;0;0;0;0;0;0
152;C;Zielinski;7;1;0;0;0;0;0;0;0;0
2529;C;Mkhitaryan;6;0;0;0;0;0;0;0;0;0
2848;C;Frattesi;6;0;0;0;0;0;0;0;0;0
5301;C;Luis Henrique;6.5;0;0;0;0;0;0;0;0;1
6274;C;Diouf;6*;0;0;0;0;0;0;0;0;0
7070;C;Sucic P.;6.5;0;0;0;0;0;0;0;0;0
2764;A;Martinez L.;7;1;0;0;0;0;0;0;0;0
4871;A;Thuram;6;0;0;0;0;0;0;0;0;0
6669;A;Bonny;6;0;0;0;0;0;0;0;0;0
7071;A;Esposito F.P.;6;0;0;0;0;0;0;0;0;0
7043;ALL;Chivu;6.5;0;0;0;0;0;0;0;0;0
Juventus;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5876;P;Di Gregorio;6.5;0;1;0;0;0;0;0;0;0
2788;D;Bremer;8;2;0;0;0;0;0;1;0;0
4976;D;Kalulu;6.5;0;0;0;0;0;0;0;0;1
5520;D;Cambiaso;5;0;0;0;0;0;1;0;0;0
5831;D;Gatti;6;0;0;0;0;0;0;0;0;0
6039;D;Cabal;6*;0;0;0;0;0;0;0;0;0
6766;D;Kelly L.;6.5;0;0;0;0;0;0;0;0;0
827;C;Locatelli;6.5;0;0;0;0;0;0;0;0;0
4711;C;Kostic;6;0;0;0;0;0;0;0;0;0
4973;C;McKennie;7.5;1;0;0;0;0;0;1;0;0
5562;C;Thuram K.;6.5;0;0;0;0;0;0;0;0;0
5813;C;Miretti;6;0;0;0;0;0;0;0;0;0
6884;C;Conceicao;6.5;0;0;0;0;0;0;1;0;1
5544;A;David;7;1;0;0;0;0;0;0;0;0
6314;A;Openda;6*;0;0;0;0;0;0;0;0;0
6434;A;Yildiz;6;0;0;0;0;0;0;0;0;0
782;ALL;Spalletti;7.5;0;0;0;0;0;0;0;0;0
Lazio;;;;;;;;;;;;
