Voti Fantacalcio 10ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;1;0;0;0;0;0;0;0
554;D;Zappacosta;5.5;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;6;0;0;0;0;0;0;0;0;0
5578;D;Kossounou;6;0;0;0;0;0;0;0;0;0
6046;D;Hien;5.5;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;5.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;6*;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;5.5;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;5.5;0;0;0;0;0;0;1;0;0
2137;A;Scamacca;5.5;0;0;0;0;0;0;0;0;0
4730;A;Lookman;5.5;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;5;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;5.5;0;0;0;0;0;0;1;0;0
6435;A;Krstovic;5;0;0;0;0;0;0;1;0;0
1924;ALL;Juric;4.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;1;0;0;0;0;0;0;0
4734;D;Miranda J.;7;1;0;0;0;0;0;0;0;0
5678;D;Holm;6.5;0;0;0;0;0;0;0;0;1
6042;D;Lucumì;6;0;0;0;0;0;0;0;0;0
7212;D;Heggem;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6*;0;0;0;0;0;0;0;0;0
788;C;Freuler;6;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;6;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;6;0;0;0;0;0;0;0;0;0
5298;C;Pobega;6.5;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;6;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6.5;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;6.5;0;0;0;0;0;0;1;0;1
