Voti Fantacalcio 11ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;5;0;3;0;0;0;0;0;0;0
554;D;Zappacosta;5;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;5;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;5;0;0;0;0;0;0;0;0;0
5578;D;Kossounou;5.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;4.5;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;5;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;4.5;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;4.5;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6*;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;5.5;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;5.5;0;0;0;0;0;0;0;0;0
4730;A;Lookman;5;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6*;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;5.5;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;5;0;0;0;0;0;0;0;0;0
1924;ALL;Juric;4.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6*;0;0;0;0;0;0;0;0;0
7172;P;Pessina Mas.;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;6.5;0;0;0;0;0;0;0;0;0
5498;D;Casale;6*;0;0;0;0;0;0;0;0;0
5678;D;Holm;7;0;0;0;0;0;0;0;0;1
6042;D;Lucumì;7.5;1;0;0;0;0;0;0;0;0
7212;D;Heggem;6.5;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;6;0;0;0;0;0;0;1;0;0
2765;C;Odgaard;6;0;0;0;0;0;0;0;0;0
5298;C;Pobega;6.5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;6.5;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;6*;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;7;0;0;0;0;0;0;0;0;1
6643;A;Dallinga;7;1;0;0;0;0;0;0;0;0
4993;ALL;Italiano;7;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7;0;0;0;0;0;0;0;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;7;0;0;0;0;0;0;0;0;0
4461;D;Zappa;6;0;0;0;0;0;0;0;0;0
5701;D;Obert;5.5;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;6*;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;6*;0;0;0;0;0;0;0;0;0
4364;C;Gaetano;6;0;0;0;0;0;0;0;0;0
4870;C;Adopo;5.5;0;0;0;0;0;0;0;0;0
6252;C;Folorunsho;5.5;0;0;0;0;0;0;0;0;0
6424;C;Prati;6;0;0;0;0;0;0;1;0;0
6640;C;Felici;5.5;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;0;0;0
5297;A;Luvumbo;5.5;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;5.5;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;6.5;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6.5;0;0;0;0;0;0;0;0;0
4137;D;Diego Carlos;6;0;0;0;0;0;0;0;0;0
4994;D;Vojvoda;6*;0;0;0;0;0;0;0;0;0
6867;D;Valle;6.5;0;0;0;0;0;0;0;0;0
6869;D;Ramon;6.5;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;6;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6;0;0;0;0;0;0;0;0;0
6151;C;Perrone;5.5;0;0;0;0;0;0;1;0;0
6875;C;Paz N.;6.5;0;0;0;0;0;0;0;0;0
7126;C;Baturina;5.5;0;0;0;0;0;0;0;0;0
313;A;Morata;4.5;0;0;0;0;0;0;1;0;0
6967;A;Diao;5;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;5.5;0;0;0;0;0;0;0;0;0
7127;A;Addai;6;0;0;0;0;0;0;1;0;0
7128;A;Kuhn;6;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;6;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;6;0;0;0;0;0;0;0;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;6;0;1;0;0;0;0;0;0;0
612;D;Bianchetti;6;0;0;0;0;0;0;0;0;0
5812;D;Terracciano F.;6;0;0;0;0;0;0;1;0;0
5835;D;Baschirotto;5.5;0;0;0;0;0;0;0;0;0
6013;D;Barbieri;5.5;0;0;0;0;0;0;0;0;0
6870;D;Faye;5;0;0;0;0;0;0;1;0;0
7131;D;Floriani Mussolini;6;0;0;0;0;0;0;0;0;0
449;C;Vazquez;6.5;0;0;0;0;0;0;0;0;0
5992;C;Bondo;6;0;0;0;0;0;0;0;0;0
6481;C;Payero;5.5;0;0;0;0;0;0;0;0;0
6528;C;Sarmiento J.;6;0;0;0;0;0;0;0;0;0
7133;C;Vandeputte;6.5;0;0;0;0;0;0;0;0;0
505;A;Bonazzoli;6;0;0;0;0;0;0;0;0;0
2499;A;Vardy;5.5;0;0;0;0;0;0;0;0;0
5496;A;Johnsen;6*;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;5.5;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6.5;0;2;1;0;0;0;0;0;0
4378;D;Ranieri L.;5;0;0;0;0;0;0;1;0;0
4904;D;Marì;6;0;0;0;0;0;0;0;0;0
5449;D;Parisi;6;0;0;0;0;0;0;0;0;0
5603;D;Pongracic;5.5;0;0;0;0;0;0;1;0;0
5718;D;Viti;6;0;0;0;0;0;0;0;0;0
5885;D;Dodò;5.5;0;0;0;0;0;0;1;0;0
7069;D;Fortini;6.5;0;0;0;0;0;0;0;0;0
1933;C;Mandragora;5.5;0;0;0;0;0;0;0;0;0
4349;C;Nicolussi Caviglia;5.5;0;0;0;0;0;0;0;0;0
5319;C;Sohm;6.5;0;0;0;0;0;0;0;0;1
5800;C;Gudmundsson A.;7;0;0;0;0;1;0;0;0;0
6010;C;Fazzini;6*;0;0;0;0;0;0;0;0;0
6294;C;Ndour;6;0;0;0;0;0;0;0;0;0
647;A;Dzeko;6;0;0;0;0;0;0;0;0;0
4359;A;Piccoli;7;1;0;0;0;0;0;0;0;0
6619;ALL;Vanoli;6.5;0;0;0;0;0;0;1;0;0
Genoa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
188;P;Leali;6.5;0;2;0;0;0;0;0;0;0
2593;D;Martin;6.5;0;0;0;0;0;0;1;0;1
5514;D;Vasquez;5.5;0;0;0;0;0;0;0;0;0
5750;D;Ostigard;7;1;0;0;0;0;0;0;0;0
6660;D;Marcandalli;5;0;0;0;0;0;0;0;0;0
6814;D;Norton-Cuffy;6;0;0;0;0;0;0;0;0;0
4404;C;Thorsby;6;0;0;0;0;0;0;0;0;0
5791;C;Frendrup;6;0;0;0;0;0;0;0;0;0
6020;C;Ellertsson;5.5;0;0;0;0;0;0;1;0;0
6106;C;Carboni V.;6;0;0;0;0;0;0;0;0;0
6917;C;Masini;6;0;0;0;0;0;0;0;0;0
4923;A;Colombo;5.5;1;0;0;1;0;0;0;0;0
6164;A;Vitinha O.;5.5;0;0;0;0;0;0;0;0;0
6822;A;Ekhator;6;0;0;0;0;0;0;0;0;0
463;ALL;De Rossi;6;0;0;0;0;0;0;0;0;0
Inter;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2428;P;Sommer;6;0;0;0;0;0;0;0;0;0
254;D;Dimarco;7;0;0;0;0;0;0;0;0;1
513;D;Acerbi;6;0;0;0;0;0;0;0;0;0
2120;D;Bastoni;6.5;0;0;0;0;0;0;0;0;1
4159;D;Akanji;6;0;0;0;0;0;0;1;0;0
5513;D;Dumfries;5.5;0;0;0;0;0;0;1;0;0
5877;D;Carlos Augusto;6.5;0;0;0;0;0;0;0;0;0
152;C;Zielinski;6.5;0;0;0;0;0;0;0;0;0
1870;C;Barella;6.5;0;0;0;0;0;0;0;0;0
2194;C;Calhanoglu;6.5;0;0;0;0;0;0;0;0;0
2848;C;Frattesi;6*;0;0;0;0;0;0;0;0;0
7070;C;Sucic P.;6;0;0;0;0;0;0;1;0;0
2764;A;Martinez L.;7;1;0;0;0;0;0;0;0;0
4871;A;Thuram;6;0;0;0;0;0;0;0;0;0
6669;A;Bonny;7;1;0;0;0;0;0;0;0;0
7071;A;Esposito F.P.;6*;0;0;0;0;0;0;0;0;0
7043;ALL;Chivu;7;0;0;0;0;0;0;0;0;0
Juventus;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5876;P;Di Gregorio;6.5;0;0;0;0;0;0;0;0;0
294;D;Rugani;6;0;0;0;0;0;0;0;0;0
4976;D;Kalulu;6.5;0;0;0;0;0;0;0;0;0
5520;D;Cambiaso;5.5;0;0;0;0;0;0;0;0;0
5831;D;Gatti;6;0;0;0;0;0;0;0;0;0
827;C;Locatelli;6;0;0;0;0;0;0;0;0;0
4973;C;McKennie;6;0;0;0;0;0;0;0;0;0
5562;C;Thuram K.;6.5;0;0;0;0;0;0;0;0;0
5685;C;Koopmeiners;6;0;0;0;0;0;0;0;0;0
5761;C;Zhegrova;6;0;0;0;0;0;0;0;0;0
6677;C;Adzic;6*;0;0;0;0;0;0;0;0;0
6884;C;Conceicao;6;0;0;0;0;0;0;0;0;0
2841;A;Vlahovic;5.5;0;0;0;0;0;0;0;0;0
5544;A;David;5.5;0;0;0;0;0;0;0;0;0
6314;A;Openda;6*;0;0;0;0;0;0;0;0;0
6434;A;Yildiz;6;0;0;0;0;0;0;0;0;0
782;ALL;Spalletti;6;0;0;0;0;0;0;0;0;0
Lazio;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2814;P;Provedel;6;0;2;0;0;0;0;0;0;0
460;D;Romagnoli;5;0;0;0;0;0;0;0;0;0
2188;D;Marusic;5.5;0;0;0;0;0;0;0;0;0
2263;D;Lazzari;5.5;0;0;0;0;0;0;0;0;0
2728;D;Pellegrini Lu.;6;0;0;0;0;0;0;0;0;0
5833;D;Gila;5.5;0;0;0;0;0;0;0;0;0
7012;D;Provstgaard;6;0;0;0;0;0;0;0;0;0
181;C;Vecino;6;0;0;0;0;0;0;0;0;0
333;C;Cataldi;5;0;0;0;0;0;0;0;0;0
632;C;Zaccagni;6.5;0;0;0;0;0;0;1;0;0
4186;C;Guendouzi;5.5;0;0;0;0;0;0;0;0;0
5674;C;Basic;6;0;0;0;0;0;0;0;0;0
6398;C;Isaksen;5.5;0;0;0;0;0;0;0;0;0
2489;A;Pedro;6;0;0;0;0;0;0;0;0;0
5672;A;Dia;5.5;0;0;0;0;0;0;0;0;0
6556;A;Noslin;5.5;0;0;0;0;0;0;0;0;0
688;ALL;Sarri;5.5;0;0;0;0;0;0;1;0;0
Lecce;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2134;P;Falcone;6;0;0;0;0;0;0;0;0;0
4502;D;Gallo;7;0;0;0;0;0;0;0;0;0
6632;D;Gaspar K.;6;0;0;0;0;0;0;0;0;0
6989;D;Tiago Gabriel;6.5;0;0;0;0;0;0;0;0;0
6990;D;Veiga D.;6;0;0;0;0;0;0;0;0;0
2839;C;Sottil;6.5;0;0;0;0;0;0;0;0;0
5504;C;Coulibaly L.;5.5;0;0;0;0;0;0;1;0;0
6015;C;Berisha M.;6;0;0;0;0;0;0;0;0;0
6394;C;Ramadani;6;0;0;0;0;0;0;0;0;0
6410;C;Kaba;6*;0;0;0;0;0;0;0;0;0
6549;C;Pierotti;5.5;0;0;0;0;0;0;0;0;0
6634;C;Tete Morente;5;0;0;0;0;0;0;0;0;0
6001;A;Banda;6;0;0;0;0;0;0;0;0;0
6519;A;Camarda;6;0;0;0;0;0;0;0;0;0
7252;A;Stulic;5.5;0;0;0;0;0;0;0;0;0
691;ALL;Di Francesco;6;0;0;0;0;0;0;0;0;0
Milan;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4312;P;Maignan;6;0;2;0;0;0;0;0;0;0
4401;D;Gabbia;6;0;0;0;0;0;0;0;0;0
5022;D;Pavlovic;5.5;0;0;0;0;0;0;0;0;0
5273;D;Estupinan;5;0;0;0;0;0;0;0;0;0
5739;D;De Winter;5.5;0;0;0;0;0;0;0;0;0
6496;D;Bartesaghi;6;0;0;0;0;0;0;0;0;0
7211;D;Athekame;6*;0;0;0;0;0;0;0;0;0
2423;C;Pulisic;5.5;0;0;0;0;0;0;0;0;0
2606;C;Modric;6;0;0;0;0;0;0;1;0;0
4199;C;Loftus-Cheek;6;0;0;0;0;0;0;0;0;0
4686;C;Fofana Y.;5;0;0;0;0;0;0;0;0;0
4892;C;Saelemaekers;7;1;0;0;0;0;0;0;0;0
5453;C;Ricci S.;5.5;0;0;0;0;0;0;0;0;0
4510;A;Leao;7;0;0;0;0;1;0;0;0;0
4728;A;Nkunku;6;0;0;0;0;0;0;0;0;1
686;ALL;Allegri;6;0;0;0;0;0;0;0;0;0
Napoli;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2170;P;Milinkovic-Savic V.;5.5;0;2;0;0;0;0;0;0;0
256;D;Juan Jesus;6*;0;0;0;0;0;0;0;0;0
2724;D;Buongiorno;5.5;0;0;0;0;0;0;0;0;0
2816;D;Di Lorenzo;5;0;0;0;0;0;0;0;0;0
