Voti Fantacalcio 24ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6;0;1;0;0;0;0;0;0;0
554;D;Zappacosta;7;1;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;0;0;0
2640;D;Kolasinac;6;0;0;0;0;0;0;1;0;0
4887;D;Bellanova;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;6.5;0;0;0;0;0;0;0;0;0
5578;D;Kossounou;5.5;0;0;0;0;0;0;1;0;0
7219;D;Bernasconi;6;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;6.5;0;0;0;0;0;0;0;0;1
5119;C;Samardzic;6.5;0;0;0;0;0;0;0;0;0
5295;C;Musah;6*;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6.5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6.5;0;0;0;0;0;0;0;0;0
4371;A;Raspadori;7;0;0;0;0;0;0;0;0;1
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;7;1;0;0;0;0;0;0;0;0
1909;ALL;Palladino;6.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;1;0;0;0;0;0;0;0
2653;D;Lykogiannis;5;0;0;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;6.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;5;0;0;0;0;0;0;1;0;0
7175;D;Joao Mario;6;0;0;0;0;0;0;0;0;0
7212;D;Heggem;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6;0;0;0;0;0;0;0;0;0
788;C;Freuler;6.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;6.5;0;0;0;0;0;0;0;0;0
5298;C;Pobega;4;0;0;0;0;0;0;0;1;0
5858;C;Ferguson;5.5;0;0;0;0;0;0;0;0;0
6844;C;Rowe;6.5;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;6*;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;6;0;0;0;0;0;0;0;0;0
6643;A;Dallinga;5.5;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6;0;2;0;0;0;0;0;0;0
4461;D;Zappa;6*;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;0;0;0
6230;D;Dossena;5;0;0;0;0;0;0;1;0;0
6832;D;Palestra;6;0;0;0;0;0;0;1;0;0
7125;D;Idrissi R.;5.5;0;0;0;0;0;0;1;0;0
7268;D;Rodriguez Ju.;6;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;5;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;5.5;0;0;0;0;0;0;0;0;0
4364;C;Gaetano;5.5;0;0;0;0;0;0;1;0;0
4870;C;Adopo;5.5;0;0;0;0;0;0;0;0;0
6024;C;Sulemana I.;6;0;0;0;0;0;0;0;0;0
247;A;Pavoletti;5.5;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;5;0;0;0;0;0;0;0;0;0
7317;A;Trepy;6*;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;5;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
