Voti Fantacalcio 25ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;6.5;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;6.5;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;1;0;0
2640;D;Kolasinac;6.5;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;6*;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;5.5;0;0;0;0;0;0;1;0;0
5578;D;Kossounou;6.5;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;5;0;0;0;0;0;0;1;0;0
7219;D;Bernasconi;6.5;0;0;0;0;0;0;1;0;1
22;C;De Roon;5.5;0;0;0;0;0;0;0;0;0
5119;C;Samardzic;6;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;7;1;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;7;0;0;0;0;1;0;0;0;0
4371;A;Raspadori;6;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6;0;0;0;0;0;0;0;0;0
1909;ALL;Palladino;6.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;6;0;1;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;5.5;0;0;0;0;0;0;0;0;0
6042;D;Lucumì;6;0;0;0;0;0;0;0;0;0
7068;D;Vitik;6;0;0;0;0;0;0;0;0;0
7175;D;Joao Mario;6;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;6.5;0;0;0;0;0;0;0;0;1
788;C;Freuler;6.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;6*;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;6*;0;0;0;0;0;0;0;0;0
5319;C;Sohm;5.5;0;0;0;0;0;0;1;0;0
5858;C;Ferguson;6*;0;0;0;0;0;0;0;0;0
6054;C;Moro N.;6.5;1;0;0;0;0;0;0;0;0
6844;C;Rowe;7;0;0;0;0;0;0;0;0;1
6572;A;Castro S.;7;1;0;0;0;0;0;0;0;0
6895;A;Dominguez B.;6;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;6.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;4.5;0;2;0;0;0;0;0;0;0
4210;D;Mina;5.5;0;0;0;0;0;0;0;0;0
4461;D;Zappa;6;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;0;0;0
6832;D;Palestra;5.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;4.5;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;6;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;5.5;0;0;0;0;0;0;0;0;0
4870;C;Adopo;5.5;0;0;0;0;0;0;0;0;0
6024;C;Sulemana I.;5;0;0;0;0;0;0;0;0;0
247;A;Pavoletti;5.5;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;5.5;0;0;0;0;0;0;0;0;0
7317;A;Trepy;5.5;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;5;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;2;0;0;0;0;0;0;0
4994;D;Vojvoda;5.5;0;0;0;0;0;0;0;0;0
5435;D;Moreno Alb.;5.5;0;0;0;0;0;0;0;0;0
6867;D;Valle;6;0;0;0;0;0;0;0;0;0
6869;D;Ramon;5.5;0;0;0;0;0;0;0;0;0
6893;D;Kempf;5;0;0;0;0;0;0;1;0;0
5036;C;Caqueret;6;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;5.5;0;0;0;0;0;0;0;0;0
6151;C;Perrone;5;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;5;0;0;0;0;0;0;0;0;0
